Fashion vocabulary with top 3 prefices and suffices
            Prefix3            Prefix2               Prefix1          Keyword                         Suffix1            Suffix2        Suffix3
0                 -                  -  (interpretations, 1)           allure                  (exploring, 1)                  -              -
1                 -                  -             (sexy, 2)          backits       (underwearasouterwear, 2)                  -              -
2                 -                  -            (levis, 1)            baggy                      (jeans, 1)                  -              -
3          (miu, 1)       (strange, 1)            (apace, 1)            biker                  (decidedly, 1)        (jacket, 2)              -
4                 -                  -       (structured, 1)           blazer                      (fluid, 1)                  -              -
5                 -                  -         (cerulean, 8)             blue                    (mingled, 8)                  -              -
6                 -                  -          (leather, 1)          braided                  (sponsored, 1)                  -              -
7                 -                  -        (chocolate, 5)            brown                  (raspberry, 5)                  -              -
8                 -                  -            (thom, 10)           browne                    (versace, 5)        (178183, 5)              -
9                 -                  -            (latex, 1)         bustiers  (fishnetsandsuspenderbelts, 1)                  -              -
10                -                  -      (fairiessexy, 1)        butterfly            (girlslowwaisted, 1)                  -              -
11                -                  -              (red, 2)            caped                       (mini, 2)                  -              -
12                -                  -           (trains, 2)            capes                       (ripe, 2)                  -              -
13                -                  -           (addams, 2)         capesbut                  (consensus, 2)                  -              -
14                -                  -            (boots, 2)       capetuxedo                    (hybrids, 2)                  -              -
15                -                  -          (calling, 1)             card                      (sheer, 1)                  -              -
16                -                  -            (terms, 1)            cardi                     (season, 1)                  -              -
17                -  (stomachbared, 1)            (short, 1)            cargo                     (skirts, 1)         (pants, 1)              -
18       (61183, 1)           (ize, 1)           (strada, 1)         carolina                    (herrera, 4)                  -              -
19                -                  -        (designers, 1)         carrying                      (torch, 1)                  -              -
20                -                  -            (alice, 3)             cary                      (sense, 1)         (alice, 1)      (1183, 1)
21                -       (sequins, 1)         (midriffs, 1)        chainmail                      (latex, 1)     (sparkling, 1)              -
22                -                  -             (body, 1)           chains                     (skinny, 1)                  -              -
23                -                  -             (send, 1)        champagne                     (flutes, 1)                  -              -
24                -                  -        (feathered, 3)             coat                     (fringe, 3)                  -              -
25                -                  -           (invest, 1)      comfortable                       (pair, 1)                  -              -
26                -                  -          (premise, 1)    comfortdriven                      (forgo, 1)                  -              -
27                -                  -        (exploring, 1)         corsetry                      (itchy, 1)                  -              -
28                -                  -             (pair, 2)           cotton                      (pants, 2)                  -              -
29                -                  -            (white, 2)          cottons                     (hermes, 2)                  -              -
30                -                  -            (flesh, 1)             crop                  (designers, 1)                  -              -
31                -                  -            (tulle, 2)          cropped                    (smoking, 2)                  -              -
32                -      (deepblue, 1)            (mixed, 1)            denim                      (sharp, 1)        (guccis, 1)              -
33         (key, 1)          (mini, 1)         (adapting, 1)            dress                      (codes, 1)         (wafts, 1)     (shape, 1)
