KEYWORDS FROM DOCUMENT CORPUS:

           1-gram                 2-gram                         3-gram
0            zoom              zoe latta                 zig zag fringe
1             zip           zip pullover               zhush god forbid
2            ziff         zimmermann 345             yves saint laurent
3           zelie          youtube watch        youtube martin margiela
4          zazzle             york start          york victoria beckham
5            zara             york offer                   york time ha
6             ysl             york milan              york london milan
7         youtube              york city              york fashion week
8       youngster               york 448             york fashion scene
9         yorkers        yolky fingertip            york critic summary
10           york          yemeni follow            yolky pearlized egg
11          yooxs          yemeni attire               yep forget print
12         yellow           yellow patch             yeah grunge makeup
13      yearslike            yeah spring                     y2k love 6
14           yeah          yarn cardigan         y2k christina aguilera
15           yard            y2k revival               xl endless layer
16            y2k           y2k favorite                woven straw bag
17           xxxl      xxl manufacturing            worn satchel packed
18            xxl             xl worried         word lagerfeld recount
19             xl                xl wear         wonderfully bold color
20  wwwinstylecom    wwwinstylecom close    womenswear buying including
21          wrong       written directed             woman fashion sale
22        writing       wraparound duvet           winter fashion trend
23        wrinkle             wow factor     wildly impressive designer
24       wrapping         woven knitwear                  wide leg pant
25           wrap       worthy successor                  wide leg jean
26      worthless        worth investing              whopping 22 color
27          worry            worst watch              white summer suit
28        worried              worn head               white shirt heel
29           worn     worldwide designer           white dress elevated
30       workroom       woollen swimsuit        white broderie anglaise
31      workhorse             wool blend        whimsical pattern boden
32         worker             wooden sol              whimsical pair wa
33           wore  womenswear collection          western style clothes
34           word          woman wearing             western glam twist
35           wool         woman swimsuit            western culture mix
36           wood             woman sale      western culture continues
37     womenswear           woman opting                 week share pin
38          woman             woman neck      wedding dressing designer
39       wobbling            woman dress            wedding dress trend
40      wishlists             woman doen           wedding dress budget
41           wise         woman continue            wearing winter boot
42         winter         woman clothing       wearer biometrics aiming
43         winner           woman closet        wearable egg concoction
44           wine          woman aspires           wear western clothes
45         window           woman aiming          wear trouser remember
46           wind            woman abaya           wear structured vest
47           wife           witty expose              wear looser denim
48     widespread           wisely moved        wear celebrity designer
49          white       wireless charger        wear accessory swimwear
50      whimsical         wired lingerie         water usage innovation
51            wfh        winter wardrobe           warmer weather month
52       westwood        winter rotation            warm weather outfit
53        western         winter neutral            warm breezy weather
54           west           winter month           walkable rubber sole
55         weight            winter boot    waist defining undergarment
56         weekly            winter blue           waist cinching piece
57      weekendor         wildly popular          vudu bergdorf goodman
58        weekend           wide variety         voguecouk katie holmes
59           week             wide range              vogue suzy menkes
60        wedding               wide leg           vogue fashion editor
61        weather              wide brim            vogue biggest issue
62         weasel             wicker bag             vogue anna wintour
63        wearing          white sneaker       vittoria ceretti camping
64         wearer             white robe      visually appealing symbol
65           wear          white printed         virginie viards chanel
66         wealth             white gown           viral swimsuit trend
67           wave            white dress       violet purplespring 2022
68       waterway        wheelhouse shop         violet purple headband
69        watched        western clothes     vintage inspired accessory
70          watch             week bring       vintage clothing finally
71       wasteful           wedding snap             view gallery topic
72        warning           wedding shop                 view gallery 5
73         warmth           wedding shoe              view gallery 2999
74         warmer         wedding outfit          vice versa conversely
75           warm          wedding dress         vibrantly colored knit
76       wardrobe      wedding cancelled        vibrant striped version
77        walmart         wedding albeit             vibrant cherry red
78           wall      weaving detailing           viable prospect pair
79        walking          weather scene             vest trouser skirt
80           walk             weather ha         versatile animal print
81           wake            weather app          vengeance stark white
82           wait            wearing ton           vegan leather jacket
83        waisted          wearing sweat          vegan leather handbag
84      waistcoat        wearing slipper              vegan leather bag
85          waist     wearing loungewear         vancouver kotn ensures
86           wage            wearer mood            valid email address
87             wa         wearable trend  valentinos pierpaolo piccioli
88  vulnerability             wear watch          utility abaya jilbabs
89           vudu           wear upgrade           usual black cashmere
90             vr           wear trouser         user submitted artwork
91          vowed               wear pop                upstart chet lo
92          vouch          wear knitwear               upper pube ditto
93            vou          wear keffiyeh      upcycling leftover fabric
94        volupte              wear jean     upcycled material arguably
95     voluminous             wear hijab            upcycled marni ware
96         volume           wear clothes       unusual bridesmaid dress
97          voice          waved goodbye          untold fabulous story
98       voguecom          wave crashing       unique documentary focus
99          vogue           water supply   unique documentary exploring

