BLOGWISE TOP KEYWORDS USING TF-IDF (LEMMATIZE):

https://www.cosmopolitan.com/style-beauty/fashion/g38451358/2022-fashion-trends/
        1-gram             2-gram                        3-gram
0     courtesy  seeing everywhere       youll seeing everywhere
1      revolve     dress courtesy           fashion trend youll
2      perfect       youll seeing            trend youll seeing
3        dress        trend youll            epic fashion trend
4      eloquii       epic fashion          product love promise
5        youll     victor virgile           link page recommend
6          bra          link page        page recommend product
7         look  effortlessly cool          earn commission link
8   commission    commission link        recommend product love
9       fringe       love promise          commission link page
10      cutout      dress eloquii           may earn commission
11       black       product love  bougie event statementmaking
12      seeing     page recommend             weve rounded best
13        crop  recommend product      oversized buttondown bra
14       party         dress made         overthetop dress time
15     fashion      danielle flum          vaquera add movement
16       trend       lowrise jean            vanades frill crop
17        love            bra top           major cutout moment
18     promise    earn commission       major moment definitely
19   recommend           may earn           make debut function

https://www.instyle.com/fashion/clothing/spring-2022-fashion-trends
       1-gram                 2-gram                        3-gram
0         tab              link open                  open new tab
1        link                new tab                 link open new
2     instyle               open new                  new tab link
3        open               tab link                 tab link open
4         new        instyle instyle       instyle instyle instyle
5       naked            naked dress               link open modal
6      window             open modal             open modal window
7     account           modal window              naked dress time
8    meredith            read spring                  new tab term
9      change        account account         choicesthis link open
10        may       term servicethis         term servicethis link
11      dress          dialog window         servicethis link open
12  celebrity        policythis link            new tab california
13       join               tab term  window web accessibilitythis
14     beauty             window web                    new tab ad
15      trend    california sellthis          tab term servicethis
16    fashion         ad choicesthis          policythis link open
17     makeup            kitten heel   accessibilitythis link open
18      first  web accessibilitythis        right reserved instyle
19         fb           close dialog            sellthis link open

https://www.purewow.com/fashion/2022-fashion-trend-predictions
      1-gram             2-gram                    3-gram
0      close         shop trend        account sign today
1      trend    forgot password         dont account sign
2   password        close close        trending top story
3    account       account sign    password never created
4      email       sign purewow          shop trend cider
5        top         sign today  according fashion editor
6       shop       dont account           shop trend asos
7       pant         mini skirt        want buy according
8     thanks  according fashion     buy according fashion
9    purewow           one dont          sign purewow get
10      sign         close like          story youll love
11     story        purewow get     forgot password never
12     skirt      account close          one dont account
13     share      story partner    enter registered email
14    recipe   enter registered   created password create
15       log        account log        love story partner
16    forgot          top story        please log account
17    fringe         youll love            close like see
18      like      never created    never created password
19    blazer       jacket skirt           create one dont

https://www.vogue.co.uk/fashion/article/fashion-trends-2022
          1-gram                  2-gram                               3-gram
0   springsummer           alice newbold                 miu miu springsummer
1          depop            depop seller          springsummer chopova lowena
2        wiggins          chopova lowena           chloe springsummer chopova
3        fashion           ellie pithers             loewe springsummer saint
