CUMULATIVE SCORING (MAX)

LEMMATIZE + USEFUL:
          1-gram              2-gram                    3-gram
0          photo      photo courtesy              open new tab
1            tab         photo photo             link open new
2       courtesy           link open         photo photo photo
3           link             new tab        photo courtesy ofa
4           open            open new             tab link open
5             lr          spotted lr              new tab link
6       pictured  pictured clockwise        six standout trend
7      clockwise          shop trend    simkhai photo courtesy
8        instyle         getty image    courtesy maryam nassir
9   springsummer   alexander mcqueen    jonathan simkhai photo
10         getty         next season     photo courtesy maryam
11       revolve        courtesy ofa       maryam nassir zadeh
12         close        marie claire         york fashion week
13       spotted     charlie teather          new york fashion
14       perfect      dress courtesy        standout trend new
15        bikini        six standout       fashion trend youll
16         trend            tab link   youll seeing everywhere
17           new          mini skirt        trend youll seeing
18       crochet        sara holzman  courtesy brandon maxwell
19           bra      bottega veneta      bevza photo courtesy
20       mcqueen         close close        nassir zadeh photo
21         dress     forgot password     brandon maxwell photo
22      password     instyle instyle      zadeh photo courtesy
23         email      standout trend  photo courtesy christian
24         image        fashion week      victor glemaud photo
25       eloquii       louis vuitton    photo courtesy brandon
26           top        york fashion    glemaud photo courtesy
27           ofa            new york           white labor day
28         depop         naked dress           might also like
29       wiggins             miu miu            trend new york
30         marie      lowslung waist       london fashion week
31          well        depop seller         spotted lr elleme
32           miu      chopova lowena           next season see
33     alexander       alice newbold     philosophy di lorenzo
34         gucci        supriya lele       di lorenzo serafini
35       charlie      victor virgile    michael kor collection
36       teather       danielle flum      loewe photo courtesy
37         skirt   seeing everywhere        louis vuitton acne
38          pant        youll seeing           courra ge photo
39       gingham   effortlessly cool       loewe louis vuitton
40        claire       dress eloquii      courtesy loewe photo
41        spring          dress made  courtesy valentino photo
42      cardigan      christian dior    laurent photo courtesy
43         white        laquan smith      photo courtesy loewe
44        season       harper bazaar  photo courtesy valentino
45       fashion          bikini top         ge photo courtesy
46         story         kerry pieri       vuitton acne studio
47           six      victor glemaud       saint laurent photo
48        runway          david koma           link open modal
49          shop       dolce gabbana         open modal window

LEMMATIZE:
          1-gram              2-gram                    3-gram
0          photo      photo courtesy              open new tab
1            tab         photo photo             link open new
2       courtesy           link open         photo photo photo
3           link            open new        photo courtesy ofa
4        instyle             new tab              new tab link
5             lr          spotted lr             tab link open
6           open  pictured clockwise        six standout trend
7       pictured          shop trend       maryam nassir zadeh
8      clockwise         getty image   youll seeing everywhere
9   springsummer   alexander mcqueen        trend youll seeing
10         getty        sara holzman       fashion trend youll
11       spotted         next season     photo courtesy maryam
12       revolve        courtesy ofa    courtesy maryam nassir
13         close     charlie teather    simkhai photo courtesy
14       holzman        marie claire    jonathan simkhai photo
15          sara      bottega veneta          new york fashion
16         trend            tab link         york fashion week
17        bikini       harper bazaar           editor may earn
18       mcqueen        six standout    commission item choose
19           new   seeing everywhere        standout trend new
20       perfect      dress courtesy      chosen harper bazaar
21       crochet        youll seeing      harper bazaar editor
22           bra          mini skirt      earn commission item
23      password         marina liao            page wa chosen
24         image        fashion week           item choose buy
25         email     forgot password           product page wa
26       account         close close          wa chosen harper
27           ofa      standout trend        every product page
28         dress       louis vuitton         bazaar editor may
29       wiggins       dolce gabbana         dont account sign
30         depop     instyle instyle        account sign today
31           top         naked dress        nassir zadeh photo
32       eloquii        york fashion  courtesy brandon maxwell
33           miu             miu miu     brandon maxwell photo
34          well            new york      zadeh photo courtesy
35     alexander      lowslung waist      victor glemaud photo
36         marie        supriya lele    photo courtesy brandon
37         gucci        depop seller    glemaud photo courtesy
38       charlie      chopova lowena      bevza photo courtesy
39       teather       alice newbold  photo courtesy christian
40         youll      christian dior           might also like
41          shop      victor glemaud           white labor day
42          pant        nassir zadeh       link page recommend
43         skirt       maryam nassir    recommend product love
44        season          david koma      commission link page
45       fashion        laquan smith      product love promise
46        claire       chosen harper    page recommend product
47       gingham         kerry pieri      earn commission link
48        spring       every product        epic fashion trend
49      cardigan           wa chosen         spotted lr elleme

USEFUL:
          1-gram              2-gram                    3-gram
0          photo      photo courtesy             opens new tab
1          opens          link opens            link opens new
2            tab         photo photo         photo photo photo
3           link           opens new        photo courtesy ofa
4       courtesy             new tab            tab link opens
5             lr          spotted lr              new tab link
6       pictured  pictured clockwise       six standout trends
7      clockwise          shop trend     photo courtesy maryam
8   springsummer        getty images    jonathan simkhai photo
9          getty   alexander mcqueen    courtesy maryam nassir
10       instyle         next season    simkhai photo courtesy
11        bikini        courtesy ofa       maryam nassir zadeh
12       revolve        marie claire         york fashion week
13         close     charlie teather          new york fashion
14       spotted      dress courtesy       standout trends new
15        images        six standout   youll seeing everywhere
16       perfect            tab link      fashion trends youll
17       crochet        sara holzman       trends youll seeing
18       mcqueen      bottega veneta      bevza photo courtesy
19      password         close close  courtesy brandon maxwell
20         dress     forgot password    glemaud photo courtesy
21       eloquii     instyle instyle      zadeh photo courtesy
22         marie     standout trends     brandon maxwell photo
23         trend          mini skirt  photo courtesy christian
24         depop       louis vuitton    photo courtesy brandon
25       wiggins        york fashion        nassir zadeh photo
26          says        fashion week      victor glemaud photo
27           new            new york           marie claire us
28         pants             miu miu           white labor day
29           miu       alice newbold           might also like
30          well      chopova lowena           trends new york
31     alexander        supriya lele       london fashion week
32         email   effortlessly cool          next season sees
33         gucci        youll seeing         spotted lr elleme
34           top            crop top       di lorenzo serafini
35        trends          dress made     philosophy di lorenzo
36           ofa       dress eloquii   michael kors collection
37         skirt            bra tops      photo courtesy loewe
38       charlie      victor virgile  photo courtesy valentino
39       teather   seeing everywhere      courtesy loewe photo
