CUMULATIVE SCORING (MEAN)

LEMMATIZE + USEFUL:
          1-gram              2-gram                          3-gram
0          photo      photo courtesy               photo photo photo
1       courtesy         photo photo                    open new tab
2          trend           link open                   link open new
3        fashion             new tab              photo courtesy ofa
4          dress            open new             maryam nassir zadeh
5            top        fashion week                    new tab link
6            new          spotted lr                   tab link open
7         spring  pictured clockwise              six standout trend
8            miu             miu miu                new york fashion
9          skirt         getty image               york fashion week
10           tab          shop trend          michael kor collection
11        runway   alexander mcqueen                ludovic de saint
12          look          mini skirt          simkhai photo courtesy
13        season        courtesy ofa          courtesy maryam nassir
14          link         next season          jonathan simkhai photo
15          open       louis vuitton           photo courtesy maryam
16          mini       fashion trend                  trend new york
17  springsummer            new york              standout trend new
18          like    jonathan simkhai             fashion trend youll
19      designer       saint laurent         youll seeing everywhere
20         image         naked dress              trend youll seeing
21          week       maryam nassir                 de saint sernin
22         piece        nassir zadeh            bevza photo courtesy
23           bra        laquan smith        courtesy brandon maxwell
24         white        marie claire        photo courtesy christian
25        fringe        supriya lele           brandon maxwell photo
26        cutout     charlie teather              nassir zadeh photo
27          year        nensi dojaka            victor glemaud photo
28    collection         michael kor            zadeh photo courtesy
29          next          trend know          glemaud photo courtesy
30            wa            tom ford          photo courtesy brandon
31          well         trend youll                 might also like
32          back      bottega veneta                 white labor day
33         close      dress courtesy         navigation menu fashion
34            lr    carolina herrera              fashion week photo
35     clockwise        six standout                week photo photo
36      pictured     brandon maxwell                    may get paid
37          pant      standout trend           hearst digital medium
38       spotted    proenza schouler             part hearst digital
39       gingham        york fashion          marketing program mean
40       instyle            tab link      editorially chosen product
41         saint        lowrise jean   commission editorially chosen
42         getty        sara holzman     paid commission editorially
43          take          david koma             get paid commission
44       crochet      kor collection     affiliate marketing program
45           one       ellie pithers  participates various affiliate
46         youll          rejina pyo         purchased link retailer
47      cardigan       prabal gurung              link retailer site
48         loewe       pleated skirt                program mean may
49       perfect     forgot password          product purchased link

LEMMATIZE:
          1-gram              2-gram                    3-gram
0          photo      photo courtesy         photo photo photo
1       courtesy         photo photo              open new tab
2          trend           link open             link open new
3        fashion             new tab        photo courtesy ofa
4          dress            open new       maryam nassir zadeh
5            top          spotted lr       may earn commission
6            new        fashion week              new tab link
7         spring  pictured clockwise             tab link open
8            miu             miu miu        six standout trend
9          skirt          shop trend          new york fashion
10          link         getty image         york fashion week
11           tab       fashion trend          ludovic de saint
12          look   alexander mcqueen    michael kor collection
13        season        sara holzman   youll seeing everywhere
14        runway        courtesy ofa       fashion trend youll
15          open       louis vuitton        trend youll seeing
16          like         next season     photo courtesy maryam
17          mini       saint laurent    courtesy maryam nassir
18  springsummer          mini skirt    jonathan simkhai photo
19      designer            new york    simkhai photo courtesy
20         image       maryam nassir            trend new york
21          week        nassir zadeh           de saint sernin
22         piece    jonathan simkhai    commission item choose
23           may         naked dress            page wa chosen
24         white        laquan smith      earn commission item
25           bra        supriya lele           editor may earn
26       instyle         trend youll          wa chosen harper
27            wa     charlie teather           product page wa
28            lr        nensi dojaka           item choose buy
29          well        marie claire      chosen harper bazaar
30    collection      bottega veneta      harper bazaar editor
31          year         michael kor         bazaar editor may
32          next            tom ford        standout trend new
33        fringe          trend know        every product page
34       account            may earn         dont account sign
35        cutout     earn commission        account sign today
36         close    proenza schouler      victor glemaud photo
37         youll     brandon maxwell        nassir zadeh photo
38       spotted    carolina herrera    glemaud photo courtesy
39          back            tab link  courtesy brandon maxwell
40         saint       harper bazaar      zadeh photo courtesy
41     clockwise        six standout      bevza photo courtesy
42      pictured      standout trend  photo courtesy christian
43          pant          david koma    photo courtesy brandon
44          take        youll seeing     brandon maxwell photo
45       gingham   seeing everywhere           white labor day
46         getty      dress courtesy           might also like
47           one        york fashion   navigation menu fashion
48          best          rejina pyo      commission link page
49          show       ellie pithers        epic fashion trend

USEFUL:
          1-gram              2-gram                          3-gram
0          photo      photo courtesy               photo photo photo
1       courtesy         photo photo                   opens new tab
2        fashion          link opens                  link opens new
3         trends             new tab              photo courtesy ofa
4         spring           opens new             maryam nassir zadeh
5            new          spotted lr                  tab link opens
6            miu        fashion week                    new tab link
7          opens  pictured clockwise             six standout trends
8          trend             miu miu                new york fashion
9            top        getty images               york fashion week
10         dress          shop trend         michael kors collection
11          link   alexander mcqueen                ludovic de saint
12           tab        courtesy ofa           photo courtesy maryam
13        images       louis vuitton          jonathan simkhai photo
14         skirt         next season          simkhai photo courtesy
15  springsummer            new york          courtesy maryam nassir
16          like    jonathan simkhai                 trends new york
17         white      fashion trends             standout trends new
18     designers       saint laurent             trends youll seeing
19          week       maryam nassir            fashion trends youll
20        season        nassir zadeh         youll seeing everywhere
21        pieces        laquan smith                 de saint sernin
22            us        supriya lele            victor glemaud photo
23        fringe        marie claire            bevza photo courtesy
