CUMULATIVE SCORING (MEAN)

LEMMATIZE + USEFUL:
        1-gram               2-gram                        3-gram
0          buy            link open                  open new tab
1        dress              new tab                 link open new
2         link             open new                   buy buy buy
3          tab              buy buy                 tab link open
4      fashion      charlie teather                  new tab link
5       summer             tab link   instagram content instagram
6          new      instyle instyle     content instagram content
7         open    instagram content     postlockdown summer dress
8      instyle         summer dress           zebra print trouser
9        trend             crop top             best biker jacket
10         top  alexandra fullerton           wedding guest dress
11     charlie    content instagram            buy milkmaid dress
12     teather       milkmaid dress               best slip dress
13        best         biker jacket             mark spencer sale
14       story      navigation menu           modest summer dress
15     account          naked dress             open modal window
16   instagram         mark spencer               link open modal
17       close          close close       instyle instyle instyle
18      spring      forgot password       charlie teather charlie
19    password      uk largechevron       teather charlie teather
20       email  postlockdown summer          summer wedding guest
21          uk          zara summer                  crop top buy
22        like           slip dress             slip dress summer
23        look        modest summer              modal window web
24         one          zebra print         term servicethis link
25     content  sustainable fashion         choicesthis link open
26   fullerton            best slip   accessibilitythis link open
27      affirm          guest dress           ad choicesthis link
28        zara        discount code            sellthis link open
29       piece        fashion trend         servicethis link open
30        crop        wedding guest      california sellthis link
31          ha        print trouser    web accessibilitythis link
32     gallery         modal window                  new tab term
33   alexandra      account account            tab ad choicesthis
34        wear           open modal       tab california sellthis
35  collection         fashion week          tab term servicethis
36       style            save shop          policythis link open
37       naked      teather charlie  window web accessibilitythis
38        sale           midi dress       privacy policythis link
39    designer        gallery photo              naked dress time
40        asos         view gallery                    new tab ad
41        sign         spencer sale            new tab california
42        slip           best biker              padded flip flop
43       color          dress story               zara summer buy
44        year         dress summer         close navigation menu
45        shop       summer wedding          personal info select
46      colour         month affirm     info select international
47       brand            flip flop     select international site
48    meredith             buy best            sell personal info
49      sandal           square toe  largechevron open navigation

LEMMATIZE:
        1-gram               2-gram                        3-gram
0         link            link open                 link open new
1        dress              new tab                  open new tab
2          buy             open new                   buy buy buy
3          tab              buy buy                  new tab link
4      fashion      charlie teather                 tab link open
5      instyle             tab link              also viewed site
6       summer         summer dress        viewed site originates
7          new         content also           content also viewed
8         open          also viewed     postlockdown summer dress
9        trend    instagram content           zebra print trouser
10     content          viewed site             best biker jacket
11     account      site originates           wedding guest dress
12     charlie             crop top     content instagram content
13         top      instyle instyle   instagram content instagram
14     teather  alexandra fullerton               best slip dress
15        best       milkmaid dress            buy milkmaid dress
16          uk         biker jacket             mark spencer sale
17       story         mark spencer           modest summer dress
18       close          naked dress               link open modal
19        like      navigation menu             open modal window
20      spring  postlockdown summer       instyle instyle instyle
21   instagram          zara summer            account sign today
22      affirm      forgot password             dont account sign
23    password          close close          summer wedding guest
24        sign           slip dress                  crop top buy
25        shop    content instagram       charlie teather charlie
26       email  sustainable fashion             slip dress summer
27   fullerton          zebra print       teather charlie teather
28        look        modest summer              padded flip flop
29         one      uk largechevron          policythis link open
30        zara            best slip            new tab california
31        also         month affirm           ad choicesthis link
32       naked          guest dress                    new tab ad
33  originates        discount code         servicethis link open
34      viewed        fashion trend       privacy policythis link
35         com        wedding guest    web accessibilitythis link
36        site        print trouser                  new tab term
37      sandal         fashion week         term servicethis link
38    designer           open modal           close dialog window
39        crop      account account       tab california sellthis
40          ha         modal window         choicesthis link open
41   alexandra            save shop   accessibilitythis link open
42       brand         dont account          tab term servicethis
43        wear         account sign        right reserved instyle
44       style           sign today              modal window web
45          wa         sign purewow            sellthis link open
46  collection           glamour uk            tab ad choicesthis
47      window         spencer sale  window web accessibilitythis
48       piece           midi dress              naked dress time
49      beauty           best biker      california sellthis link

USEFUL:
          1-gram               2-gram                        3-gram
0            buy           link opens                link opens new
1           link            opens new                 opens new tab
2          opens              new tab                   buy buy buy
3            tab              buy buy                  new tab link
4        fashion      charlie teather                tab link opens
5          dress             tab link     content instagram content
6         summer      instyle instyle   instagram content instagram
7            new    instagram content   postlockdown summer dresses
8        dresses       summer dresses          zebra print trousers
9        instyle  alexandra fullerton            best biker jackets
10       charlie    content instagram            buy milkmaid dress
11       teather       milkmaid dress             best slip dresses
12          best             crop top            marks spencer sale
13       stories      navigation menu         modest summer dresses
14     instagram        marks spencer         wedding guest dresses
15       account      forgot password            opens modal window
16           top          close close       instyle instyle instyle
17         close        naked dresses              link opens modal
18      password      uk largechevron          summer wedding guest
19        spring          zara summer       charlie teather charlie
20          like        biker jackets       teather charlie teather
21       content  postlockdown summer           slip dresses summer
22     fullerton          zebra print      california sellthis link
23         trend  sustainable fashion  accessibilitythis link opens
24            uk        modest summer            naked dresses time
25         email         slip dresses            new tab california
26        affirm       discount codes           sellthis link opens
27           one            best slip        servicethis link opens
28        trends        wedding guest                 new tab terms
29          zara       print trousers              modal window web
30            us          opens modal                    new tab ad
31          crop      account account    web accessibilitythis link
32          look         modal window  window web accessibilitythis
33     alexandra       fashion trends       privacy policythis link
34       gallery         fashion week        terms servicethis link
35          slip           best biker           ad choicesthis link
36          wear            save shop         tab terms servicethis
37          asos        guest dresses       tab california sellthis
38          shop      teather charlie            tab ad choicesthis
39         naked         view gallery         policythis link opens
40         biker       gallery photos        choicesthis link opens
41  postlockdown       summer wedding                  crop top buy
42      milkmaid           midi dress          personal info select
43  largechevron         spencer sale          open navigation menu
44        pieces        dress stories         close navigation menu
45          want             buy best            sell personal info
46          menu         month affirm     select international site
47      meredith       dresses summer     info select international
48        beauty   privacy policythis  largechevron open navigation
49          save         dresses time               zara summer buy

NONE:
        1-gram               2-gram                        3-gram
0          buy           link opens                link opens new
1        opens              new tab                 opens new tab
2         link            opens new                   buy buy buy
3          tab              buy buy                  new tab link
4      fashion      charlie teather                tab link opens
5        dress             tab link              also viewed site
6      instyle       summer dresses        viewed site originates
7       summer          viewed site           content also viewed
8          new         content also   postlockdown summer dresses
9      dresses      site originates          zebra print trousers
10     content          also viewed            best biker jackets
11     account    instagram content     content instagram content
12     charlie      instyle instyle   instagram content instagram
13     teather  alexandra fullerton             best slip dresses
14        best       milkmaid dress            buy milkmaid dress
15         top             crop top            marks spencer sale
16     stories        marks spencer         modest summer dresses
17       close      navigation menu         wedding guest dresses
18        like        naked dresses          summer wedding guest
19          uk          zara summer              link opens modal
20   instagram        biker jackets            opens modal window
21      spring  postlockdown summer       instyle instyle instyle
22      affirm  sustainable fashion             dont account sign
23    password      forgot password            account sign today
24       trend          close close       charlie teather charlie
25   fullerton    content instagram           slip dresses summer
26        shop          zebra print       teather charlie teather
27        zara      uk largechevron        choicesthis link opens
28        also        modest summer         tab terms servicethis
29      trends         slip dresses           close dialog window
30  originates         month affirm            new tab california
31      viewed       discount codes       tab california sellthis
32          us            best slip            tab ad choicesthis
33       email        wedding guest       privacy policythis link
34         one         fashion week        terms servicethis link
