KEYWORDS FROM DOCUMENT CORPUS:

           1-gram                  2-gram                           3-gram
0            zoom              zone ready                 zebra super easy
1             zip           zebra trouser              zebra print trouser
2            zhuj              zaras epic              zebra print legging
3           zebra             zaam design            zealander lucy rosiek
4           zahan       youthful elegance                 zara summer 2021
5         youfive             york london             zaam design workshop
6          yellow               york city                york london milan
7            yeah               yoga pant                york fashion week
8            yarn                 yeya ha                yoga luxe lounger
9           yacht           yewande amber       yellow called illuminating
10            y2k              yeah enjoy                yellow 50 topshop
11            xxl             y2k fashion               yeah grunge makeup
12             xx     wwwinstylecom close             y2k inspired madness
13             xl             wrong enter            woven fisherman style
14  wwwinstylecom                wrap opt       wonderfully vibrant season
15          wrong               wrap crop               woman velvet abaya
16          write              wow moment      woman silhouette suffocated
17          wrist             woven slide                 woman ankle gasp
18        wrapped           woven leather               winter sun holiday
19           wrap       worth remembering                 winter 2022 trip
20          wowed             worn thrown        winner receiving au100000
21          woven         worn championed                win win situation
22      worthless          wore underwear     wildest accessory guaranteed
23          worth                word bev                 wild folk studio
24          worse        woolmark company                 wide leg trouser
25          worry       womenswear belief              whopping 7000 liter
26        worried              woman wore            white ergonomic slide
27           worn           woman wearing             whimsical mini dress
28      worldwide        woman trajectory              week partial easing
29      worldfrom            woman fumble              wedding guest dress
30        workout          woman egyptian             wearing real clothes
31         worker             woman dress                 wear puff sleeve
32           wore           woman couture             wear oversized shirt
33      wondering           woman aspires                  wear mini skirt
34      wonderful            winter month                wear light fabric
35          woman             winter coat                 wear lairy shade
36       wishlist           winner winner  wasteful manufacturing practice
37           wise         window shopping             waste creation water
38         winter              wind solar              warming purple tone
39         winner                 win win             warmer weather mixed
40           wing       wildest accessory         warmer weather condition
41         window  wikipedia greenwashing              warm undertone shop
42           wind       widespread change              wardrobe block fear
43            win                wide leg                 wardrobe 30 time
44         wilson              wide berth          waisted pleated trouser
45       wildlife             whove spent                   waist mom jean
46           wild              white shoe                waist linen short
47      wikipedia             white shirt                 wa marlon brando
48           wide             white print         voluminous blanket dress
49          whove             white piece             vivid handbag paired
50      whittling              white gold             vintage vibe lacoste
51          white              white crop              vintage period belt
52        whisper           wfh sweatsuit          vintage branded garment
53      whimsical       wfh staycationing                 view gallery kim
54            wfh             western cut                view gallery cult
55       wellness         western culture                view gallery asda
56        welfare         western country                vibrant colour ha
57          weird              weird time              vibrant color print
58         weekly        wedding starting            vibrant color pattern
59        weekend            wedding snap                verywell mind add
60           week           wedding guest               version ha evolved
61        wedding         wedding content             versatile pale shade
62        weather            wearing pink           venezuelan rising star
63        wearing            wear upgrade             vegan protect animal
64    wearability              wear strap             vegan leather jacket
65           wear              wear scarf             vegan clothing brand
66         wealth          wear launching              valid email address
67           wave               wear item          valentino isabel marant
68       waterway              wear hijab       valentino alberta ferretti
69          water               wear crop            utility shirt reduced
70       wasteful           wear converse                    usa rui china
71          waste             wear colour                  upside doe pair
72        washing           wear clothing          upcycled silk scrunchie
73           wary               wear boot         upcycled fashion ensures
74      warehouse             wear affect          unexpected colour clash
75       wardrobe       waterproof jacket   understated piece highlighting
76        walking            water supply   uncomfortable stiletto luckily
77           walk         washing garment                  uber comfy kick
78           wale         wardrobe scroll              twisted halter neck
79        waiting          wardrobe reset              turbulent time head
80           wait     wardrobe originally             true wardrobe staple
81        waisted    wardrobe malfunction               true fashion lover
82          waist           wardrobe fear              true blue treatment
83           wage      wardrobe essential      trivial worry rediscovering
84             wa          wardrobe brand             trend wednesday girl
85          vouch                walk key              trend ha reappeared
86            vou               walk fast                trend ballet flat
87         volume         waisted trouser           trans seasonal styling
88          voice           waisted skirt   traditional technique courtesy
89        voguegr          waisted bikini     traditional element discover
90          vogue           waist version    traditional egyptian clothing
91          vital         waist dominated        tracksuits adult egyptian
92        visitor              wa walking            total energy consumed
93          visit              wa spotted               topic book fashion
94         vision            wa nominated               toned piece popped
95      virtually                wa music               toned cutout dress
96        virtual              wa hanging           tomo koizumi embracing
97          viral             wa destined                 tome meat market
98        vintage              wa created            toffee coloured flare
99          villa                 wa born          timeless fashion lesson

