Blog Category,Blog Title,Blog Catchphrase,Blog Link,Author Name,Thumbnail Link
Entertainment,Emily in Paris season 2 featured an iconic Blake Lively fashion moment,It's possible Mindy wore the best look of the season.,https://www.glamourmagazine.co.uk/article/emily-in-paris-blake-lively,Elizabeth Logan ,https://media.glamourmagazine.co.uk/photos/61c4571293c1bfdc8acdb136/4:3/w_1600%2Cc_limit/EIPLIVELY231221_DEFAULT1EIP_202_Unit_02292R3.jpg
Shopping,15 fashion websites with next day delivery for last-minute Christmas Day outfits,Whether you're going all-out or keeping it casual.,https://www.glamourmagazine.co.uk/article/next-day-delivery-clothes,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61a78d77ae3851072fffe52e/4:3/w_1600%2Cc_limit/XMASPARTY011221__011221_GettyImages-1343803240_SQ.jpg
Fashion,10 breakout fashion brands we guarantee you'll be seeing everywhere in 2022,Time to get clued up ahead of everyone else.,https://www.glamourmagazine.co.uk/article/fashion-brands-to-know-2022,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61b9ae59983121fb0be869b8/4:3/w_1600%2Cc_limit/BREAKOUTFASHION151221_DEFAULT.jpg
Fashion,Zendaya and Harry Styles are among the 10 biggest style icons of 2021,We've definitely saved outfits from everyone on this list.,https://www.glamourmagazine.co.uk/article/celebrity-fashion-icons-2021,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61ba0d0c9ff9e158c1216735/4:3/w_1600%2Cc_limit/BESTDRESSED151221_DEFAULT2.jpg
Fashion,I’m a fashion director and these are the exact Christmas day outfits I've got planned for the big day,All the inspo for Christmas Day Outfits is right here…,https://www.glamourmagazine.co.uk/gallery/christmas-day-outfits,Alexandra Fullerton ,https://media.glamourmagazine.co.uk/photos/619e53863926b692d1461531/4:3/w_1600%2Cc_limit/XMASDAYOUTFITS_241121_BLAUBLUT_EDITION_BLB468588_SQ.jpg
Christmas,Need some festive fashion inspiration? Here are 25 of the Royal Family's best Christmas Day outfits,"Featuring Kate Middleton, Princess Diana, and Meghan Markle.",https://www.glamourmagazine.co.uk/gallery/royal-family-christmas-day-outfits,Annabelle Spranklen Lucy Morgan ,https://media.glamourmagazine.co.uk/photos/61c1ced3a526f4fca64d618b/4:3/w_1600%2Cc_limit/ROYALXMAS211221_SQ.jpg
Fashion,"The chicest mid-priced French fashion brands to get perfect ‘Parisian girl’ style, just like Emily in Paris","Yes, the designer catwalks full of inspiration but these brands are truly pret-a-porter (and far more affordable).",https://www.glamourmagazine.co.uk/gallery/best-french-fashion-brands,Alexandra Fullerton ,https://media.glamourmagazine.co.uk/photos/61bc8d691e10dd57f2d31de9/4:3/w_1600%2Cc_limit/EMILYINPARIS_171221_DEFAULT_SQUARE.png
Dua Lipa,Dua Lipa is single-handedly reviving Y2K fashion. Here are 23 of her most creative looks (so far…),She *is* the moment. ,https://www.glamourmagazine.co.uk/gallery/dua-lipa-style-best-looks-and-outfits,Ciara Sheppard Lucy Morgan ,https://media.glamourmagazine.co.uk/photos/61c20544a526f4fca64d61b9/4:3/w_1600%2Cc_limit/DUALIPA211221_DEFAULT2GettyImages-1307104439.jpg
Shopping,"19 pairs of luxury pyjamas to elevate your nightwear wardrobe, including the Sleeper PJs Mindy wears in Emily in Paris",Luxury pyjamas make the dreamiest of gifts.,https://www.glamourmagazine.co.uk/gallery/luxury-pyjamas,Sophie Cockett ,https://media.glamourmagazine.co.uk/photos/61bc70135207b21f2ab52834/4:3/w_1600%2Cc_limit/LUXPJS171221_DEFAULT2.jpg
Fashion,The Outnet has a sale on with up to 80% off (!) all it's bestsellers and we've found 21 must-haves for your 2022 wardrobe,Luxury labels at a more accessible price.,https://www.glamourmagazine.co.uk/gallery/the-outnet-sale,Georgia Trodd ,https://media.glamourmagazine.co.uk/photos/61c1f90da526f4fca64d61af/4:3/w_1600%2Cc_limit/OUTNETSALE211221_DEFAULT1.jpg
Royal Style,14 times thrifty Kate Middleton loved her outfit so much she wore it again (and again…),"Sometimes you love something so much, you gotta give it a second go around.",https://www.glamourmagazine.co.uk/gallery/kate-middleton-fashion-outfit-repeats,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61389f27a8f6b78280dd775f/4:3/w_1600%2Cc_limit/untitled-1_sf.jpg
Uniqlo,Shhh: the Uniqlo x Jil Sander collaboration is where *all* the chicest fashion editors shop for classics,These are forever pieces without the investment price tag.,https://www.glamourmagazine.co.uk/gallery/uniqlo-jil-sander-j-collaboration,Ali Belamant Alexandra Fullerton ,https://media.glamourmagazine.co.uk/photos/61c08944d14b76bbaf7e7e42/4:3/w_1600%2Cc_limit/UNIQLO201221_DEFAULT1.jpg
Gift Guides,"In a rush? Virtual gifts have got your back this Christmas, so here are 15 virtual gift ideas in case you've left things to the last minute ",Virtual gifts span far beyond e-cards.,https://www.glamourmagazine.co.uk/gallery/virtual-gifts,Georgia Trodd ,https://media.glamourmagazine.co.uk/photos/61c0b7de297846c6d65ad7a8/4:3/w_1600%2Cc_limit/VIRTUALGIFTS201221_DEFAULT1.jpg
Zendaya,"At 25-years-old, Zendaya is already a certified fashion icon. Here's 40 of her most legendary looks",You don't want to arrive on a red carpet at the same time as Zendaya. Trust us. 💅 💅 💅,https://www.glamourmagazine.co.uk/gallery/zendaya-style-best-looks-and-outfits,Lucy Morgan ,https://media.glamourmagazine.co.uk/photos/61c07f4e0cc8f9e854942dbf/4:3/w_1600%2Cc_limit/ZENDAYA201221_DEFAULT1GettyImages-1338741603.jpg
Shopping,19 snuggly hoodies to live in all day (if you're back working from home – again),Fashion's cosiest must-have.,https://www.glamourmagazine.co.uk/gallery/best-hoodies,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61ba1d9d0f681882da425492/4:3/w_1600%2Cc_limit/HOODIES_15122021_SQ.jpg
Jewellery,These unique engagement rings might make you rethink your classic solitaire-based mood board,"Perfect for a modern, less traditional bride-to-be.",https://www.glamourmagazine.co.uk/gallery/unique-engagement-rings,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61388b505ebdbf876576a495/4:3/w_1600%2Cc_limit/bling-square.jpg
Careers,21 MasterClass courses that make for really cool Christmas gifts – from leadership with Anna Wintour to makeup & beauty with Bobbi Brown,MasterClass = the site where celebrities teach you new skills.,https://www.glamourmagazine.co.uk/gallery/best-courses-masterclass,Sophie Cockett ,https://media.glamourmagazine.co.uk/photos/61389ca36c53c747be7bcebd/4:3/w_1600%2Cc_limit/1567637093-class_hero_no_gradient_l_sf_sq.jpg
Shopping,"I'm using these Oliver Bonas discount codes to save on my wish list, here's what I'm buying",Don't forget to treat yourself this season.,https://www.glamourmagazine.co.uk/gallery/oliver-bonas-discount-codes,Georgia Trodd ,https://media.glamourmagazine.co.uk/photos/61b8b372729056bdd26c403c/4:3/w_1600%2Cc_limit/DISCOUNTCODES_14122021_oliver%2520bonas%2520SQ.jpg
Dresses,"36 little black dresses for ‘party season’, however and wherever you're spending the festive period",Because who knows where we'll be in ten days time.,https://www.glamourmagazine.co.uk/gallery/sexy-little-black-dresses,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61b862f3983121fb0be86939/4:3/w_1600%2Cc_limit/LBD141221_DEFAULT2.jpg
Lingerie,25 best pyjama sets for women that we'll be living in right through 'til spring,"In every colour, size and silhouette.",https://www.glamourmagazine.co.uk/gallery/womens-pyjama-sets,Charlie Teather Sophie Cockett Georgia Trodd ,https://media.glamourmagazine.co.uk/photos/61b74892e33b4bbf25423596/4:3/w_1600%2Cc_limit/BESTPYJAMAS_13122021_Star%2520print%2520henley%2520pyjama%2520SQ.jpg
Fashion,Tuesday Choose Day: Time to vote for (and buy!) your favourite products in this week's edit of our Fashion Editor's favourite picks,Time to try your hand at being a fashion (sale) critic...,https://www.glamourmagazine.co.uk/article/tuesday-choose-day-shopping-high-street-fashion,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/613899352bec5fcec32c15ce/4:3/w_1600%2Cc_limit/original_sq.jpg
Celebrity Style,Jennifer Lopez looks Like Cinderella in this baby blue sheer gown ,Bibbidi bobbidi bombshell.,https://www.glamourmagazine.co.uk/article/jennifer-lopez-blue-elie-saab-dress,Carrie Wittmer ,https://media.glamourmagazine.co.uk/photos/61b7840c444abe7b17501b6f/4:3/w_1600%2Cc_limit/JENNIFERLOPEZ_131221_DEFAULT_SQUARE.jpg
Shopping,"Charlie Chooses: The 7 high street buys you should add to your shopping list, according to our Fashion Editor",Looking for a little pick-me-up? Add these to your basket.,https://www.glamourmagazine.co.uk/article/high-street-buys-of-the-week,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/6138ac6ff5e39d30c69b418d/4:3/w_1600%2Cc_limit/charlie-chooses-designer-default.jpg
Fashion,The 4 iconic Carrie Bradshaw outfits that have been recycled from her OG Sex and the City wardrobe for And Just Like That,Did you spot them?,https://www.glamourmagazine.co.uk/article/carrie-bradshaw-and-just-like-that-fashion,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/614246a770b13913ffe5aadb/4:3/w_1600%2Cc_limit/original
Fashion,TikTok declares banana clips are back without consulting me first,"I lived through the banana clip pandemonium of the 1980s, and my inner child is very disappointed over this comeback trend. My outer adult, however, has other thoughts.",https://www.glamourmagazine.co.uk/article/banana-hair-clip-trend-tiktok,Marci Robin ,https://media.glamourmagazine.co.uk/photos/61b0de3cc8eb08181eec16f5/4:3/w_1600%2Cc_limit/BANANACLIPS_08122021_GettyImages-110474174%2520SQ.jpg
Celebrity Style,Khloé Kardashian is literally sparkling in this strapless chainmail minidress,Insert flame emoji. ,https://www.glamourmagazine.co.uk/article/khloe-kardashian-dress-peoples-choice-awards,Christopher Rosa ,https://media.glamourmagazine.co.uk/photos/61b1fd780065e93b8beb44d1/4:3/w_1600%2Cc_limit/GettyImages-1342988102.jpg
Entertainment,Ever dreamed of hanging out in Carrie Bradshaw’s Sex And The City apartment? And Just Like That… you can!,A replica of the iconic Manhattan TV set has come to London,https://www.glamourmagazine.co.uk/article/sex-and-the-city-apartment-in-london,Alexandra Fullerton ,https://media.glamourmagazine.co.uk/photos/61b0e8854392249ef6b5a5a6/4:3/w_1600%2Cc_limit/CARRIESAPARTMENT081221_DEFAULT2.jpg
Shopping,"I'm using these Oliver Bonas discount codes to save on my wish list, here's what I'm buying",Don't forget to treat yourself this season.,https://www.glamourmagazine.co.uk/gallery/oliver-bonas-discount-codes,Georgia Trodd ,https://media.glamourmagazine.co.uk/photos/61b8b372729056bdd26c403c/4:3/w_1600%2Cc_limit/DISCOUNTCODES_14122021_oliver%2520bonas%2520SQ.jpg
Dresses,"36 little black dresses for ‘party season’, however and wherever you're spending the festive period",Because who knows where we'll be in ten days time.,https://www.glamourmagazine.co.uk/gallery/sexy-little-black-dresses,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61b862f3983121fb0be86939/4:3/w_1600%2Cc_limit/LBD141221_DEFAULT2.jpg
Lingerie,25 best pyjama sets for women that we'll be living in right through 'til spring,"In every colour, size and silhouette.",https://www.glamourmagazine.co.uk/gallery/womens-pyjama-sets,Charlie Teather Sophie Cockett Georgia Trodd ,https://media.glamourmagazine.co.uk/photos/61b74892e33b4bbf25423596/4:3/w_1600%2Cc_limit/BESTPYJAMAS_13122021_Star%2520print%2520henley%2520pyjama%2520SQ.jpg
Shopping,Our edit of the very best loungewear to keep you looking chic as you work from home,Do duvet days in style.,https://www.glamourmagazine.co.uk/gallery/best-loungewear,Sophie Cockett Georgia Trodd ,https://media.glamourmagazine.co.uk/photos/61b76dcaef684a2650a92ace/4:3/w_1600%2Cc_limit/LOUNGEWEAR131221_DEFAULT1.jpg
Periods,15 best period pants for a zero-waste and sustainable period (and why I've turned my back on single-use sanitary products for good),Period pants are now the only sanitary products I use.,https://www.glamourmagazine.co.uk/gallery/best-period-pants,Sophie Cockett ,https://media.glamourmagazine.co.uk/photos/61aa3930f72718579da6fbd5/4:3/w_1600%2Cc_limit/PERIODPANTS031221_DEFAULT2.jpg
Fashion,The Pantone Colour of The Year 2022 is a seriously flattering shade of purple – here are our favourite pieces to shop now,This blue-toned purple hue should be in everyone's wardrobes.,https://www.glamourmagazine.co.uk/gallery/pantone-colour-of-the-year-2022,Alexandra Fullerton ,https://media.glamourmagazine.co.uk/photos/61b35e4c10b71f550900a704/4:3/w_1600%2Cc_limit/PANETON101221_DEFAULTa3.jpg
Weddings,Winter wedding dresses and bridal stoles that will have you feeling like a total princess for your white wedding,"Winter brides, this one's for you.",https://www.glamourmagazine.co.uk/gallery/winter-wedding-dresses,Georgia Trodd ,https://media.glamourmagazine.co.uk/photos/61b349b40065e93b8beb455b/4:3/w_1600%2Cc_limit/WINTERBRIDEDRESSES_101221DEFAULT.jpg
Zara,Zara just launched some seriously chic winter coats – here's our fashion editor's pick of the best,Wrapping it up in style.,https://www.glamourmagazine.co.uk/gallery/best-zara-autumn-winter-coats,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/6177cc03a84f082b59f03efe/4:3/w_1600%2Cc_limit/ZARACOLLECTION261021_DEFAULT1.jpg
Gift Guides,A whole bunch of gift ideas for your sister (that you can guarantee she won't secretly return),"Whether she's a beauty junkie, fashionista or home bird.",https://www.glamourmagazine.co.uk/gallery/gifts-for-sisters,Sophie Cockett Tanyel Mustafa ,https://media.glamourmagazine.co.uk/photos/6138a0c15737943865218501/4:3/w_1600%2Cc_limit/screen-shot-2020-08-26-at-115602_sq.jpg
Fashion Trends,13 winter fashion trends that you'll actually want to wear this season,From punchy puffers to power suits.,https://www.glamourmagazine.co.uk/gallery/autumn-winter-2021-fashion-trends,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/6138abb9ba092ab636a116ed/4:3/w_1600%2Cc_limit/1-molly-goddard_sq.jpg
Ear Piercings,Which ear piercing to get next? These are all the spots to consider for some new sparkle,Stack 'em up.,https://www.glamourmagazine.co.uk/gallery/different-types-ear-piercings,Elle Turner ,https://media.glamourmagazine.co.uk/photos/613891cf69a8a3323e6d7849/4:3/w_1600%2Cc_limit/chlobella_sq.png
