Blog Title,Blog Date,Author Name,Blog Link,Thumbnail Link
Darshan Mehta on entering a partnership with Anamika Khanna’s AK-OK: “We want to create hunger and desire”,20 December 2021,Rujuta Vaidya,https://www.vogue.in/fashion/content/darshan-mehta-reliance-brands-limited-partnership-with-anamika-khanna-brand-ak-ok,https://assets.vogue.in/photos/61c063eb15c7257cc2fdfbd4/1:1/w_1600%2Cc_limit/Darshan%2520Mehta%2520on%2520entering%2520a%2520partnership%2520with%2520Anamika%2520Khanna%2520AK-OK%2520We%2520want%2520to%2520create%2520hunger%2520and%2520desire.jpg
Vogue editors reveal what's on their Christmas wishlists,20 December 2021,Arushi Sinha,https://www.vogue.in/fashion/content/vogue-editors-reveal-whats-on-their-christmas-wishlists,https://assets.vogue.in/photos/61c02894e519ba5c28e92ca5/1:1/w_1600%2Cc_limit/06-saloni-fw18.jpeg
"Ariana Grande’s 19 best looks of the year, from The Voice to her wedding",20 December 2021,Christian Allaire,https://www.vogue.in/fashion/gallery/ariana-grandes-19-best-looks-of-the-year-from-the-voice-to-her-wedding,https://assets.vogue.in/photos/61c063f215c7257cc2fdfbd5/1:1/w_1600%2Cc_limit/00_promo_2.gif
7 fashion-forward women that are menswear icons,20 December 2021,Namrata Kedar,https://www.vogue.in/fashion/content/7-fashion-forward-women-that-are-menswear-icons,https://assets.vogue.in/photos/61c02466e519ba5c28e92c9d/1:1/w_1600%2Cc_limit/Rihanna.jpg
"Blending cultures while making a statement, Riz Ahmed wears a kurta to the premiere of Encounter",19 December 2021,Devki Bhatt,https://www.vogue.in/fashion/content/blending-cultures-while-making-a-statement-riz-ahmed-wears-a-kurta-to-the-premiere-of-encounter,https://assets.vogue.in/photos/61bf066115c7257cc2fdfb51/1:1/w_1600%2Cc_limit/Riz%2520Ahmed%2520Prada%2520kurta%2520encounter.jpg
Kourtney Kardashian loves leather,19 December 2021,Devki Bhatt,https://www.vogue.in/fashion/content/kourtney-kardashian-loves-leather,https://assets.vogue.in/photos/61bf044a033c74b2468a646f/1:1/w_1600%2Cc_limit/Kourtney%2520Kardashian%2520leather%2520dress.jpg
10 stars who flew the flag for sustainable fashion in 2021,19 December 2021,Emily Chan,https://www.vogue.in/gallery/10-stars-who-flew-the-flag-for-sustainable-fashion-in-2021,https://assets.vogue.in/photos/61bf00d515c7257cc2fdfb4c/1:1/w_1600%2Cc_limit/composite.jpg
Priyanka Chopra heats things up in a red-hot suit,18 December 2021,Christian Allaire,https://www.vogue.in/fashion/content/priyanka-chopra-heats-things-up-in-a-red-hot-suit,https://assets.vogue.in/photos/61bda90915c7257cc2fdfb4b/1:1/w_1600%2Cc_limit/GettyImages-1237270439.jpeg
The LBD takes on different forms this festive season,18 December 2021,Yash Tripathi    Naheed Driver,https://www.vogue.in/fashion/content/the-lbd-takes-on-different-forms-this-festive-season,https://assets.vogue.in/photos/61bc5d1215c7257cc2fdfb1c/1:1/w_1600%2Cc_limit/LittleBlackDress.jpg
"Karishma Swali, one half of JADE by Monica & Karishma, launches a new label with her daughter",17 December 2021,Hasina Khatib,https://www.vogue.in/fashion/content/karishma-swali-one-half-of-jade-by-monica-and-karishma-launches-a-new-label-with-her-daughter,https://assets.vogue.in/photos/61bc3a7215c7257cc2fdfb11/1:1/w_1600%2Cc_limit/MoonRay_Crafted%2520Collectables%2520%2520(43).jpg
