Blog Category,Blog Title,Blog Catchphrase,Blog Link,Author Name,Thumbnail Link,keyword_count,Thumbnail Credit,Blog Date,Author Profile Link
Fashion Trends,Ready to skip winter? These are all the summer 2022 trends to look forward to according to Copenhagen Fashion Week,Your first look at SS22.,https://www.glamourmagazine.co.uk/gallery/copenhagen-fashion-week-trends-ss22,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61389b36236c41e8314899c6/4:3/w_1600%2Cc_limit/sqjpg.jpg,4,,,
,“Go big and stay home”—5 fashion trends (and mantras) that ruled the spring/summer 2021 couture runways,,https://www.vogue.in/fashion/content/fashion-trends-and-mantras-that-ruled-the-springsummer-2021-couture-runways,Julia Hobbs,https://assets.vogue.in/photos/60178acc3514c40d2b37e4e2/1:1/w_1600%2Cc_limit/00015-Schiaparelli-Couture-Spring-21-credit-Daniel-Roseberry.jpg,4,,1 February 2021,
,Rajesh Pratap Singh at Lotus Make-Up India Fashion Week spring/summer 2021,,https://www.vogue.in/fashion/gallery/lotus-make-up-india-fashion-week-spring-summer-2021-designer-rajesh-pratap-singh,Vogue.in,https://assets.vogue.in/photos/5f87db6bdd9267ff5ae206be/1:1/w_1600%2Cc_limit/Rajesh-Pratap-Singh-at-Lotus-Make-Up-India-Fashion-Week-spring-summer-2021-2.jpg,3,,15 October 2020,
,"Forget Spring, Here Are 7 Summer Trends to Get Excited About",,https://www.purewow.com/fashion/summer-trends-shop-now,,"https://purewows3.imgix.net/images/articles/2020_04/summer-trends-shop-now-cat.jpg?auto=format,compress&cs=strip&fit=min&w=400&h=290",3,CHRISTIAN VIERIG/CONTRIBUTOR/GETTY IMAGES,,
,Rohit Gandhi + Rahul Khanna at Lotus Make-Up India Fashion Week spring/summer 2021,,https://www.vogue.in/fashion/gallery/lotus-make-up-india-fashion-week-spring-summer-2021-designer-rohit-gandhi-rahul-khanna,Vogue.in,https://assets.vogue.in/photos/5f8af3f031243af9c390ad7d/1:1/w_1600%2Cc_limit/Rohit-Gandhi-Rahul-Khanna-at-Lotus-Make-Up-India-Fashion-Week-spring-summer-2021-7.jpg,3,,18 October 2020,
,Pawan Sachdeva at Lotus Make-Up India Fashion Week spring/summer 2021,,https://www.vogue.in/fashion/gallery/lotus-make-up-india-fashion-week-spring-summer-2021-designer-pawan-sachdeva,Vogue.in,https://assets.vogue.in/photos/5f8d12b8077c3eea35ebdcfe/1:1/w_1600%2Cc_limit/Pawan%2520Sachdeva%2520at%2520Lotus%2520Make-Up%2520India%2520Fashion%2520Week%2520spring%2520summer%25202021-2.jpg,3,,19 October 2020,
,Nikita Mhaisalkar at Lotus Make-Up India Fashion Week spring/summer 2021 ,,https://www.vogue.in/fashion/gallery/lotus-make-up-india-fashion-week-spring-summer-2021-designer-nikita-mhaisalkar,Vogue.in,https://assets.vogue.in/photos/5f8ad8a5077c3eea35ebdcb0/1:1/w_1600%2Cc_limit/Nikita%2520Mhaisalkar%2520at%2520Lotus%2520Make-Up%2520India%2520Fashion%2520Week%2520spring%2520summer%25202021%252011.jpg,3,,17 October 2020,
,Vikram Bajaj at Lotus Make-Up India Fashion Week spring/summer 2021,,https://www.vogue.in/fashion/gallery/lotus-make-up-india-fashion-week-spring-summer-2021-designer-vikram-bajaj,Vogue.in,https://assets.vogue.in/photos/5f8d0d0031243af9c390adab/1:1/w_1600%2Cc_limit/Vikram%2520Bajaj%2520at%2520Lotus%2520Make-Up%2520India%2520Fashion%2520Week%2520spring%2520summer%25202021-1.jpg,3,,19 October 2020,
,These 11 Fashion Trends Are Going Viral This Summer - But They're Actually From the '70s,,https://www.instyle.com/fashion/clothing/70s-summer-fashion-trends,,,3,,,
,Top 10 Future Of Fashion Trends Reshaping The Industry (In 2022),,https://thevou.com/fashion/future-of-fashion/,Bruce Knox,https://thevou.com/wp-content/uploads/2018/11/WTVOX-future-of-fashion.jpg,3,,22 November 2021,https://thevou.com/author/techwise/
,"From egg shell heels to demon basketball bags, the 9 wildest accessories of spring/summer 2022",,https://www.vogue.in/fashion/gallery/from-egg-shell-heels-to-demon-basketball-bags-the-9-wildest-accessories-of-spring-summer-2022,Vogue,https://assets.vogue.in/photos/615f21f25c25eba05fcaf383/1:1/w_1600%2Cc_limit/trends22.png,3,,12 October 2021,
Fashion Trends,The 11 summer fashion trends to know about now that we're finally wearing proper clothes again,"Occasionally, at least...",https://www.glamourmagazine.co.uk/gallery/spring-summer-2020-fashion-trends-2020,Charlie Teather ,https://media.glamourmagazine.co.uk/photos/61388edcaa3b5acf3b0db764/4:3/w_1600%2Cc_limit/gettyimages-1175053684_sq.jpg,3,,,
,Gaya at Lotus Make-Up India Fashion Week spring/summer 2021,,https://www.vogue.in/fashion/gallery/lotus-make-up-india-fashion-week-spring-summer-2021-designer-gaya,Vogue.in,https://assets.vogue.in/photos/5f8994d371fcc3ca9a541646/1:1/w_1600%2Cc_limit/Gaya%2520at%2520Lotus%2520Make-Up%2520India%2520Fashion%2520Week%2520spring%2520summer%25202021-9.jpg,3,,16 October 2020,
